time,thscode,ths_close_price_stock,ths_high_price_stock,ths_low_stock,ths_open_price_stock,ths_chg_ratio_stock,ths_vol_stock
2026-01-05,920179.BJ,47.28,49.68,39.63,40.8,22.360248447205,10892313.0
2026-01-06,920179.BJ,48.65,51.13,47.96,47.98,2.8976311336717,9408046.0
2026-01-07,920179.BJ,46.2,52.58,45.1,48.99,-5.0359712230216,8419858.0
2026-01-08,920179.BJ,47.75,49.55,44.57,44.7,3.3549783549783,6371205.0
2026-01-09,920179.BJ,44.3,48.76,40.96,46.06,-7.2251308900524,12630165.0
2026-01-12,920179.BJ,44.46,46.18,42.0,43.66,0.36117381489843,10108086.0
2026-01-13,920179.BJ,45.1,46.46,42.5,44.46,1.4394961763383,6693155.0
2026-01-14,920179.BJ,43.81,46.26,42.7,45.12,-2.860310421286,6379435.0
2026-01-15,920179.BJ,46.46,46.48,42.8,44.0,6.0488472951381,6970225.0
2026-01-16,920179.BJ,55.88,59.58,47.52,49.0,20.275505811451,10518574.0
2026-01-19,920179.BJ,56.24,59.23,50.68,52.0,0.64423765211167,7939914.0
2026-01-20,920179.BJ,52.67,56.25,51.6,55.5,-6.3477951635846,5509560.0
2026-01-21,920179.BJ,50.65,55.0,50.33,52.8,-3.8352003037782,5856928.0
2026-01-22,920179.BJ,50.7,51.86,49.71,51.0,0.098716683119456,3541753.0
2026-01-23,920179.BJ,53.61,53.8,49.77,50.69,5.7396449704142,5293363.0
2026-01-26,920179.BJ,50.77,53.56,50.58,53.08,-5.2975191195672,3533497.0
2026-01-27,920179.BJ,50.8,51.99,49.01,50.11,0.059090013787658,3360554.0
2026-01-28,920179.BJ,49.45,52.5,49.11,50.8,-2.6574803149606,3544952.0
2026-01-29,920179.BJ,50.89,51.79,48.48,49.97,2.9120323559151,4279492.0
2026-01-30,920179.BJ,50.89,50.89,50.89,50.89,2.9120323559151,4279492.0
2026-02-02,920179.BJ,50.89,50.89,50.89,50.89,2.9120323559151,4279492.0
2026-02-03,920179.BJ,50.89,50.89,50.89,50.89,2.9120323559151,4279492.0
2026-02-04,920179.BJ,50.89,50.89,50.89,50.89,2.9120323559151,4279492.0
2026-02-05,920179.BJ,50.89,50.89,50.89,50.89,2.9120323559151,4279492.0
2026-02-06,920179.BJ,51.79,58.55,49.5,49.5,1.7685203379839,9937079.0
2026-02-09,920179.BJ,59.6,63.47,52.05,53.99,15.080131299479,14244869.0
2026-02-10,920179.BJ,57.0,59.99,56.62,59.0,-4.3624161073826,7513410.0
2026-02-11,920179.BJ,52.78,57.44,52.01,57.0,-7.4035087719298,7002966.0
2026-02-12,920179.BJ,52.5,56.39,52.4,53.66,-0.53050397877984,6076672.0
2026-02-13,920179.BJ,50.53,53.0,50.47,51.7,-3.752380952381,3924665.0
2026-02-24,920179.BJ,52.8,54.38,51.1,51.5,4.4923807639026,3577631.0
2026-02-25,920179.BJ,55.0,60.72,53.73,56.5,4.1666666666667,9779276.0
2026-02-26,920179.BJ,56.93,59.21,55.0,56.03,3.5090909090909,7301325.0
2026-02-27,920179.BJ,55.89,56.47,53.18,54.93,-1.826804848059,4596637.0
2026-03-02,920179.BJ,53.65,54.77,51.43,53.79,-4.0078726069064,5079631.0
2026-03-03,920179.BJ,48.75,55.28,48.61,54.78,-9.1332712022367,5362294.0
2026-03-04,920179.BJ,47.58,49.82,46.0,46.4,-2.4,3013352.0
2026-03-05,920179.BJ,48.08,50.25,47.87,48.77,1.0508617065994,2936608.0
2026-03-06,920179.BJ,46.95,48.01,46.66,47.12,-2.3502495840266,1930392.0
2026-03-09,920179.BJ,44.75,45.66,43.01,45.66,-4.6858359957402,3154151.0
2026-03-10,920179.BJ,46.13,46.61,45.37,45.37,3.0837988826816,2099509.0
2026-03-11,920179.BJ,45.0,46.96,45.0,46.71,-2.4495989594624,2091559.0
2026-03-12,920179.BJ,43.02,45.27,42.8,44.55,-4.4,1887126.0
2026-03-13,920179.BJ,43.24,44.48,42.65,43.09,0.511390051139,1467652.0
2026-03-16,920179.BJ,43.45,43.99,41.63,42.9,0.48566142460685,1993311.0
2026-03-17,920179.BJ,40.79,43.88,40.6,43.8,-6.1219792865363,2171149.0
2026-03-18,920179.BJ,41.54,41.88,40.79,40.99,1.8386859524393,1056170.0
2026-03-19,920179.BJ,40.0,41.14,39.52,40.94,-3.7072701011074,1437446.0
2026-03-20,920179.BJ,39.61,43.45,39.53,42.0,-0.975,2650731.0
2026-01-05,600206.SH,20.82,20.83,20.42,20.5,2.4102311854402,24406700.0
2026-01-06,600206.SH,21.84,21.86,20.9,20.9,4.8991354466859,59758144.0
2026-01-07,600206.SH,21.73,22.23,21.56,22.18,-0.503663003663,48885096.0
2026-01-08,600206.SH,21.77,22.06,21.6,21.68,0.18407731247123,32234634.0
2026-01-09,600206.SH,22.05,22.18,21.65,21.77,1.2861736334405,35930408.0
2026-01-12,600206.SH,22.38,22.38,21.86,22.16,1.4965986394558,48180652.0
2026-01-13,600206.SH,21.7,22.63,21.62,22.56,-3.0384271671135,40760214.0
2026-01-14,600206.SH,21.57,22.06,21.31,21.64,-0.59907834101382,39154449.0
2026-01-15,600206.SH,21.83,21.84,21.36,21.38,1.205377839592,23672217.0
2026-01-16,600206.SH,22.29,22.44,22.0,22.05,2.1071919377004,38596312.0
2026-01-19,600206.SH,22.4,22.72,22.27,22.55,0.49349484073575,35371240.0
2026-01-20,600206.SH,22.25,22.55,22.1,22.28,-0.66964285714285,25025998.0
2026-01-21,600206.SH,22.74,22.87,22.1,22.15,2.2022471910112,41841761.0
